2020/10/13 06:12,永井匠,takupon0506@yahoo.co.jp,青森県,20
2020/10/13 06:12,匠,takupon0506@yahoo.co.jp,長崎県,50
2020/10/13 06:12,匠,takupon0506@yahoo.co.jp,埼玉県,100
2020/10/13 06:12,永井匠,takupon0506@gmail.com,高知県,50
2020/10/13 06:14,永井匠,takupon0506@gmail.com,高知県,50
2020/10/13 06:14,ナガイタクミ,takupon0506@yahoo.co.jp,埼玉県,10
2020/10/13 06:46,orita,15156,茨城県,40
2020/10/13 06:48,山脇,166,石川県,60
2020/10/13 09:54,永井匠,takupon0506@yahoo.co.jp,山形県,60
2020/10/13 09:59,永井匠,takupon0506@yahoo.co.jp,福井県,40
2020/10/13 19:01,永井匠,takupon0506@yahoo.co.jp,新潟県,30
2020/10/13 19:05,永井匠,takupon0506@yahoo.co.jp,新潟県,70
2020/10/13 19:05,ナガイタクミ,takupon0506@yahoo.co.jp,栃木県,100
